_id,image_url,brands,pnns_groups_2,energy-kj_100g,sugars_100g,salt_100g,saturated-fat_100g,proteins_100g,fiber_100g,fruits-vegetables-nuts-estimate-from-ingredients_100g,sodium_100g,nutrition-score-fr_100g
8410076481597,https://images.openfoodfacts.org/images/products/841/007/648/1597/front_de.175.400.jpg,Old El Paso,Appetizers,2057.0,0.5,0.49,2.2,7.8,6.0,0.0,0.196,1.0
3073781139440,https://images.openfoodfacts.org/images/products/307/378/113/9440/front_de.28.400.jpg,Leerdammer,Cheese,1460.0,0.0,1.5,18.5,26.0,0.0,0.0,0.6,15.0
5411188128311,https://images.openfoodfacts.org/images/products/541/118/812/8311/front_de.27.400.jpg,Alpro,Plant-based milk substitutes,56.0,0.0,0.07,1.1,0.1,0.0,9.6,0.028,1.0
3700278400881,https://images.openfoodfacts.org/images/products/370/027/840/0881/front_fr.74.400.jpg,Banania,unknown,1577.0,69.0,0.05,1.4,5.6,6.7,0.25,0.02,1.0
3179142054664,https://images.openfoodfacts.org/images/products/317/914/205/4664/front_fr.40.400.jpg,Vahiné,Nuts,2992.0,3.6,0.0,4.9,14.0,14.0,0.0,0.0,-3.0
4000405002704,https://images.openfoodfacts.org/images/products/400/040/500/2704/front_de.31.400.jpg,Rügenwalder Mühle,Salty and fatty products,923.0,4.1,1.6,1.7,0.6,3.3,38.61875,0.64,7.0
4311501675328,https://images.openfoodfacts.org/images/products/431/150/167/5328/front_de.14.400.jpg,"Gut&Günstig,Edeka",Sandwiches,1295.0,3.0,1.5,4.3,13.1,3.5,0.0,0.6,10.0
4008258158005,https://images.openfoodfacts.org/images/products/400/825/815/8005/front_fr.49.400.jpg,Seeberger,Dried fruits,1980.0,33.0,0.41,8.2,10.0,0.0,73.4866071428571,0.164,19.0
8000500310427,https://images.openfoodfacts.org/images/products/800/050/031/0427/front_de.231.400.jpg,"Nutella,Ferrero",Biscuits and cakes,2158.0,35.8,0.559,11.5,7.9,0.0,0.0,0.2236,25.0
4000446016807,https://images.openfoodfacts.org/images/products/400/044/601/6807/front_de.26.400.jpg,Mestemacher,Bread,1030.0,1.9,0.84,0.2,8.4,3.0,0.0,0.336,-2.0
20006174,https://images.openfoodfacts.org/images/products/20006174/front_de.117.400.jpg,"Maître Jean Pierre,Grafschafter,Lidl,Jean pierre,Tastino",unknown,1631.0,3.5,1.19,0.5,11.7,6.2,0.0,0.476,-1.0
8718300875700,https://images.openfoodfacts.org/images/products/871/830/087/5700/front_de.55.400.jpg,Vivera,unknown,803.0,1.4,1.4,0.8,14.0,5.0,0.0,0.56,-2.0
4104420031500,https://images.openfoodfacts.org/images/products/410/442/003/1500/front_de.50.400.jpg,Alnatura,Dressings and sauces,412.0,20.0,2.2,0.1,2.0,2.6,76.0,0.88,10.0
3229820762692,https://images.openfoodfacts.org/images/products/322/982/076/2692/front_fr.30.400.jpg,Bjorg,Legumes,705.0,0.5,0.03,1.7,18.0,3.1,0.0,0.012,-5.0
4012359144003,https://images.openfoodfacts.org/images/products/401/235/914/4003/front_fr.66.400.jpg,Taifun,One-dish meals,853.0,0.5,1.4,2.2,19.0,0.0,56.11328125,0.56,5.0
4260322210761,https://images.openfoodfacts.org/images/products/426/032/221/0761/front_de.37.400.jpg,Greenforce,One-dish meals,1550.0,5.2,3.9,1.5,45.0,14.0,0.0,1.56,-2.0
20995553,https://images.openfoodfacts.org/images/products/20995553/front_de.156.400.jpg,J. D. Gross,Chocolate products,2395.0,12.9,0.03,28.2,10.8,0.1,0.0,0.012,19.0
4018077760938,https://images.openfoodfacts.org/images/products/401/807/776/0938/front_de.11.400.jpg,"Lorenz Bahlsen, The Lorenz Bahlsen Snack World",Nuts,2259.0,7.1,2.0,6.9,17.0,5.8,0.0,0.8,16.0
3033491454080,https://images.openfoodfacts.org/images/products/303/349/145/4080/front_fr.134.400.jpg,Danone,Dairy desserts,244.0,3.9,0.1,0.1,10.0,0.0,0.0,0.04,-5.0
5410041001204,https://images.openfoodfacts.org/images/products/541/004/100/1204/front_de.243.400.jpg,LU,Appetizers,606.0,2.1,0.52,2.7,2.5,0.7,0.0,0.208,4.0
20724696,https://images.openfoodfacts.org/images/products/20724696/front_de.269.400.jpg,"Alesto, Lidl, Solent",Nuts,2567.0,4.8,0.01,4.3,24.5,12.1,100.0,0.004,-3.0
4075600158655,https://images.openfoodfacts.org/images/products/407/560/015/8655/front_de.44.400.jpg,Bürger,Sandwiches,750.0,4.3,0.94,2.3,7.2,2.6,6.83593749999999,0.376,2.0
7622300315733,https://images.openfoodfacts.org/images/products/762/230/031/5733/front_de.128.400.jpg,"Philadelphia,Mondelez",Salty and fatty products,932.0,4.3,0.75,14.0,5.4,0.2,0.0,0.3,12.0
4056489192923,https://images.openfoodfacts.org/images/products/405/648/919/2923/front_de.64.400.jpg,"Lovilio, Milbona",Cheese,1654.0,0.0,1.5,18.0,33.0,0.0,0.0,0.6,15.0
7394376616129,https://images.openfoodfacts.org/images/products/739/437/661/6129/front_de.68.400.jpg,Oatly,Plant-based milk substitutes,193.0,4.0,0.1,0.2,1.0,0.8,11.4583333333333,0.04,0.0
4061458236928,https://images.openfoodfacts.org/images/products/406/145/823/6928/front_de.25.400.jpg,"Goldähren,Sinnack Backspezialitäten,Aldi",Bread,1340.0,3.0,1.3,1.0,18.0,6.0,0.0,0.52,-2.0
5449000000286,https://images.openfoodfacts.org/images/products/544/900/000/0286/front_en.77.400.jpg,Coca-Cola,Sweetened beverages,180.0,10.6,0.0,0.0,0.0,0.0,0.0,0.0,14.0
