id,name,nutriscore,energy,fat_g,sugar_g,sodium_mg,perc_fruit,fibers_g,proteins_g,energy_points,sugars_points,sodium_points,saturated_fat_points,fruit_points,fiber_points,proteins_points
5013665113133,Crunchy Peanut Butter,c,2690.312,54.3,3.8,440.0,0.0,6.7,27.7,8,0,4,10,0,5,5
5014008002237,Vegetarian Mozzarella 1/4 LB Burgers,c,1054.368,14.7,0.9,560.0,0.0,5.0,19.8,3,0,6,10,0,5,5
5014213001049,Meridian Crunchy Peanut Butter,b,2493.664,46.0,5.9,0.0,0.0,8.5,29.6,7,1,0,10,0,5,5
5014213711290,Crunchy peanut butter,b,2493.664,46.0,5.9,0.0,100.0,8.5,30.0,7,1,0,10,5,5,5
5019503002133,Quorn Pieces,a,414.216,2.6,0.6,320.0,0.0,7.1,13.8,1,0,3,2,0,5,5
5060362070474,Organic & unsweetened Almond,b,121.336,2.5,0.0,40.0,0.0,0.5,1.0,0,0,0,2,0,0,0
8008698003152,Gluten Free Brown Ciabatta Rolls,a,1192.44,9.4,4.6,368.0,0.0,9.6,6.8,3,1,4,9,0,5,4
9322969000015,Corn Thins Original,a,1599.999953333347,3.3333333333333,0.38888888888889,261.111111111112,0.0,7.2222222222222,10.0,4,0,2,3,0,5,5
4088600052922,Unsweetened UHT Soya Drink,a,158.99200000000002,2.1,0.0,32.0,0.0,0.0,3.6,0,0,0,2,0,0,2
7394376665028,The Original Oat Drink Semi,b,192.464,1.5,4.1,40.0,0.0,0.8,1.0,0,0,0,1,0,0,0
5941445668217,Salt Chips,d,2263.544,35.0,0.6,600.0,0.0,0.0,5.4,6,0,6,10,0,0,3
5060198641251,Crosta & Mollica Organic Piadina 4 Wholeblend Flatbreads with Extra Virgin Olive Oil,d,1313.776,10.5,1.1,600.0,0.0,0.0,7.9,3,0,6,10,0,0,4
5010029226188,Muesli,a,1543.896,5.8,16.0,112.0,0.0,8.3,12.0,4,3,1,5,0,5,5
4056489139713,Hamburger Brötchen Classic,b,1171.52,5.5,6.1,480.0,0.0,3.5,9.7,3,1,5,5,0,3,5
7613287157201,Cheerios Multigrain,b,1603.866666666653,5.0,17.666666666667,333.333333333332,0.0,9.0,9.3333333333333,4,3,3,4,0,5,5
4056489462828,Simply porridge oats,a,1535.528,8.4,1.0,8.0,0.0,9.1,12.1,4,0,0,8,0,5,5
20060831,Crownfield Premium Fruit and Nut Muesli,c,1648.496,12.0,25.4,24.0,0.0,7.9,8.5,4,5,0,10,0,5,5
5000184201199,Marmite Yeast Extract,c,1087.84,0.5,1.2,4320.0,0.0,3.5,34.0,3,0,10,0,0,3,5
5013683305527,Lincolnshire sausages,b,748.936,11.0,0.1,380.0,0.0,1.2,15.0,2,0,4,10,0,1,5
5014213001063,Smooth peanut butter,b,2493.664,46.0,5.9,0.0,0.0,8.5,30.0,7,1,0,10,0,5,5
5018374350930,Baked Beans In Tomato Sauce,a,364.008,0.6,4.7,200.0,0.0,3.7,4.5,1,1,2,0,0,3,2
5026489487083,Quinoa Chips,c,2004.136,21.5,2.8,556.0,0.0,3.2,8.8,5,0,6,10,0,3,5
5050974503712,Pumpkin Seed & Oat Crispbread,a,1548.0800000000002,6.6,2.7,180.0,0.0,16.8,13.5,4,0,1,6,0,5,5
5411188091912,Soya Original Drink,a,163.17600000000002,1.8,2.5,32.0,0.0,0.5,3.0,0,0,0,1,0,0,1
5411188511137,Organic Soya Unsweetened U.H.T.,a,133.888,1.9,0.0,12.0,0.0,0.6,3.3,0,0,0,1,0,0,2
7613031473113,SHREDDED WHEAT,a,1506.24,2.2,0.7,20.0,0.0,12.2,12.2,4,0,0,2,0,5,5
4260334140148,Fine hazelnut chocolate spread,d,2355.592,36.0,47.0,0.0,0.0,5.5,6.1,7,10,0,10,0,5,3
8718692786820,What The Cluck Vegan Chicken Style Chunks,a,594.128,3.6,0.5,440.0,0.0,6.2,21.0,1,0,4,3,0,5,5
5000157078780,Beanz No added sugar,a,271.96000000000004,0.2,1.9,160.0,0.0,3.6,4.6,0,0,1,0,0,3,2
5060406080452,Minor Figures Barista Oat organic,b,184.096,1.8,2.5,40.0,0.0,0.0,0.2,0,0,0,1,0,0,0
4088600275338,Oat,b,200.832,1.5,3.8,36.0,0.0,0.7,0.5,0,0,0,1,0,0,0
4056489152903,Kimchi,c,150.624,0.4,0.3,764.0,0.0,0.0,1.1,0,0,8,0,0,0,0
5057753940317,Tesco Oat Drink,b,196.648,1.5,4.2,40.0,0.0,0.7,0.5,0,0,0,1,0,0,0
5070000126548,Gut-loving granola,a,1870.248,17.9,7.9,24.0,0.0,17.0,13.2,5,1,0,10,0,5,5
5010034012349,Riz Basmati,b,606.6800000000001,1.6,0.5,4.0,0.0,0.5,3.1,1,0,0,1,0,0,1
20009847,Baked beans,a,347.272,0.6,5.0,340.0,0.0,0.0,4.1,1,1,3,0,0,0,2
20239305,Mixed seedless grapes,b,251.04,0.5,15.0,4.0,0.0,0.7,0.5,0,3,0,0,0,0,0
5000127049307,Crunchy Nut Corn Flakes Cereal,d,1665.232,4.5,35.0,300.0,0.0,2.5,6.0,4,7,3,4,0,2,3
5000127163096,Special K The Original,c,1569.0,1.5,15.0,400.0,0.0,4.5,9.0,4,3,4,1,0,4,5
5000328376677,Ready Salted Crisps,c,2192.416,31.9,0.4,560.0,0.0,4.3,6.1,6,0,6,10,0,4,3
5011476100885,Cheerios,b,1606.656,5.0,17.6,332.0,0.0,8.9,9.2,4,3,3,4,0,5,5
5019503034189,Vegan Chicken Free Slices,a,393.296,2.3,0.5,520.0,0.0,6.2,11.0,1,0,5,2,0,5,5
8714685903229,Falafels De Patates Douces BIO,b,711.28,9.7,4.0,320.0,0.0,0.0,6.0,2,0,3,9,0,0,3
3033710038381,Nescafé classic,e,4.184,0.0,0.0,0.0,0.0,0.0,0.2,0,0,0,0,0,0,0
336789,Spinach Ricotta Tortelloni,b,673.624,3.3,1.4,140.0,0.0,1.7,6.3,2,0,1,3,0,1,3
5053827199728,Trésor Kellogg's Choco Roulette offre spéciale,e,1874.432,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0,0,0,0,0
5059319003931,Special k Red berries,b,1631.76,1.4,16.0,292.0,0.0,6.6,8.0,4,3,3,1,0,5,4
4056489067726,Vegan spread mexican style,b,736.384,13.0,0.7,520.0,0.0,2.3,7.0,2,0,5,10,0,2,4
5000169022900,Houmous,c,1188.256,22.7,0.7,320.0,0.0,0.0,6.3,3,0,3,10,0,0,3
5013665112273,Organic Vegetable Stock Cubes,e,29.288,0.4,0.3,360.0,0.0,0.0,0.0,0,0,3,0,0,0,0
5060088705063,NAKD Noix de Cajou - 140g (4x1p),c,1715.44,23.4,39.2,40.0,100.0,4.7,10.0,5,8,0,10,5,4,5
8005110170423,Tomatenfruchtfleisch mit Basilikum,b,108.784,0.2,2.8,120.0,0.0,0.0,1.2,0,0,1,0,0,0,0
5053827193368,Bran Flakes,a,1497.872,2.2,14.0,264.0,0.0,17.0,11.0,4,3,2,2,0,5,5
5000119117359,Wheat biscuits,a,1497.872,2.0,4.4,112.0,0.0,10.0,12.0,4,0,1,1,0,5,5
4056489067788,Tofu basil,b,523.0,7.5,0.5,400.0,0.0,0.0,12.0,1,0,4,7,0,0,5
85696608044,Silken tofu firm,a,234.304,2.6,0.6,28.0,0.0,0.0,7.1,0,0,0,2,0,0,4
20245726,Pommes Rouges,a,213.384,0.5,11.6,4.0,0.0,1.2,0.6,0,2,0,0,0,1,0
20809669,Schupfnudeln svana,b,769.856,2.0,6.0,384.0,0.0,3.2,6.0,2,1,4,1,0,3,3
5202390017834,Prosociano Bloc,e,1167.336,17.0,0.3,1400.0,0.0,0.0,1.6,3,0,10,10,0,0,0
8714685902086,Bio Houmous,b,866.0880000000001,14.9,0.5,360.0,0.0,0.0,7.6,2,0,3,10,0,0,4
