index,url,product_name,categories,countries_fr,nutriscore_score,nutriscore_grade,food_groups_tags,image_url,energy_100g,saturated-fat_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,fruits-vegetables-nuts_100g
1427695,http://world-fr.openfoodfacts.org/produit/3564700605387/trio-de-fleurettes-notre-jardin,Trio de Fleurettes,"aliments et boissons à base de végétaux, aliments d'origine végétale, aliments à base de fruits et de légumes, surgelés, légumes et dérivés, aliments à base de plantes surgelés, légumes surgelés",France,-8.0,a,"en:fruits-and-vegetables,en:vegetables",https://images.openfoodfacts.org/images/products/356/470/060/5387/front_fr.33.400.jpg,76.0,0.2,1.7,2.4,2.3,0.04,100.0
1427711,http://world-fr.openfoodfacts.org/produit/3564700608142/colin-d-alaska-a-la-moutarde-cote-table,Colin d'Alaska à la moutarde,"surgelés, plats préparés, plats préparés au poisson, plats préparés surgelés, plats préparés à réchauffer au micro-ondes, colins d'alaska à la moutarde, colins préparés, plats préparés à réchauffer au bain-marie, poissons préparés",France,2.0,b,"en:composite-foods,en:one-dish-meals",https://images.openfoodfacts.org/images/products/356/470/060/8142/front_fr.22.400.jpg,408.0,3.5,0.5,0.6,8.8,0.7,3.7
1427713,http://world-fr.openfoodfacts.org/produit/3564700608180/colin-d-alaska-a-la-parisienne-surgele-cote-table,"Colin d'Alaska à la Parisienne, Surgelé","produits de la mer, poissons et dérivés, poissons, surgelés, plats préparés, plats préparés au poisson, préparations de poisson, plats préparés surgelés, plats préparés à réchauffer au micro-ondes, colins d'alaska à la parisienne, colins préparés, plats préparés à réchauffer au bain-marie, poissons préparés",France,-1.0,a,"en:composite-foods,en:one-dish-meals",https://images.openfoodfacts.org/images/products/356/470/060/8180/front_fr.41.400.jpg,331.0,2.2,1.0,0.6,8.4,0.46,22.4
1427714,http://world-fr.openfoodfacts.org/produit/3564700608227/colin-d-alaska-provencale-cote-table,Colin d'alaska provencale,"produits de la mer, poissons et dérivés, poissons, surgelés, plats préparés, poissons maigres, plats préparés au poisson, préparations de poisson, plats préparés surgelés, plats préparés à réchauffer au micro-ondes, colins",France,-5.0,a,"en:fish-meat-eggs,en:fish-and-seafood,en:lean-fish",https://images.openfoodfacts.org/images/products/356/470/060/8227/front_fr.16.400.jpg,236.0,0.1,2.2,2.2,9.1,0.5,33.6
1427718,http://world-fr.openfoodfacts.org/produit/3564700608883/pizza-royale-la-familiale-turini,Pizza royale la Familiale,"surgelés, plats préparés, pizzas tartes salées et quiches, pizzas, pizzas et tartes surgelées, pizzas surgelées, pizzas royales",France,0.0,b,"en:composite-foods,en:pizza-pies-and-quiches",https://images.openfoodfacts.org/images/products/356/470/060/8883/front_fr.37.400.jpg,907.0,2.8,2.8,2.1,9.8,0.9,16.5
1427719,http://world-fr.openfoodfacts.org/produit/3564700608920/lasagnes-a-la-bolognaise-cote-table,Lasagnes à la Bolognaise,"surgelés, plats préparés, plats à base de pâtes, lasagnes préparées, plats préparés surgelés, en:meat lasagnas, lasagnes à la bolognaise",France,2.0,b,"en:composite-foods,en:one-dish-meals",https://images.openfoodfacts.org/images/products/356/470/060/8920/front_fr.8.400.jpg,512.0,2.6,4.0,1.8,6.0,0.8,26.28
1427859,http://world-fr.openfoodfacts.org/produit/3564700631379/mini-gratins-aux-choux-fleurs-x-4-cote-table,Mini gratins aux choux-fleurs x 4,"surgelés, plats préparés, gratins, plats préparés surgelés, gratins de légumes, gratins de choux-fleurs",France,3.0,c,"en:composite-foods,en:one-dish-meals",https://images.openfoodfacts.org/images/products/356/470/063/1379/front_fr.35.400.jpg,372.0,3.0,3.3,1.8,3.2,0.7,59.85
1427862,http://world-fr.openfoodfacts.org/produit/3564700631409/poelee-savoyarde-cote-table,Poêlée savoyarde,"surgelés, plats préparés, poêlées, plats préparés surgelés, poêlées savoyardes",France,1.0,b,"en:composite-foods,en:one-dish-meals",https://images.openfoodfacts.org/images/products/356/470/063/1409/front_fr.10.400.jpg,534.0,2.8,0.3,1.4,4.3,0.5,51.08
1427863,http://world-fr.openfoodfacts.org/produit/3564700631416/eminces-poireaux-a-la-creme-notre-jardin,Eminces poireaux A la creme,"aliments et boissons à base de végétaux, aliments d'origine végétale, aliments à base de fruits et de légumes, surgelés, plats préparés, légumes et dérivés, aliments à base de plantes surgelés, légumes surgelés",France,-1.0,a,"en:fruits-and-vegetables,en:vegetables",https://images.openfoodfacts.org/images/products/356/470/063/1416/front_fr.25.400.jpg,275.0,2.9,2.7,2.4,1.4,0.445,72.0
1427952,http://world-fr.openfoodfacts.org/produit/3564700644744/jafaden,Jafaden,"aliments et boissons à base de végétaux, boissons, boissons à base de végétaux, boissons aux fruits, jus et nectars, jus de fruits, jus d'orange, jus de fruits pur jus, jus d'orange pur jus, surgelés",France,2.0,c,"en:beverages,en:unsweetened-beverages",https://images.openfoodfacts.org/images/products/356/470/064/4744/front_fr.28.400.jpg,165.0,0.1,8.5,0.5,0.5,0.01,100.0
1428219,http://world-fr.openfoodfacts.org/produit/3564700683460/fruits-rouges-fruistar,Fruits rouges,"aliments et boissons à base de végétaux, aliments d'origine végétale, aliments à base de fruits et de légumes, surgelés, fruits et produits dérivés, aliments à base de plantes surgelés, fruits, fruits rouges, fruits surgelés, mélanges de fruits surgelés, fruits rouges surgelés, mélanges de fruits rouges surgelés",France,-8.0,a,"en:fruits-and-vegetables,en:fruits",https://images.openfoodfacts.org/images/products/356/470/068/3460/front_fr.41.400.jpg,133.0,0.0,4.8,4.1,1.1,0.0,100.0
1428257,http://world-fr.openfoodfacts.org/produit/3564700689998/pizza-moelleuse-bolognaise-turini,Pizza moelleuse bolognaise,"surgelés, plats préparés, pizzas tartes salées et quiches, pizzas, pizzas et tartes surgelées, pizzas à la bolognaise, pizzas surgelées",France,1.0,b,"en:composite-foods,en:pizza-pies-and-quiches",https://images.openfoodfacts.org/images/products/356/470/068/9998/front_fr.20.400.jpg,932.0,1.9,3.5,1.9,10.7,1.1,14.18
1428259,http://world-fr.openfoodfacts.org/produit/3564700690079/100-pur-jus-matin-douceur-orange-carotte-banane-jafaden,100% pur jus matin douceur orange carotte banane,"aliments et boissons à base de végétaux, boissons, surgelés, boissons à base de végétaux, boissons aux fruits, jus et nectars, jus de fruits, jus de fruits pur jus",France,3.0,c,"en:beverages,en:unsweetened-beverages",https://images.openfoodfacts.org/images/products/356/470/069/0079/front_fr.37.400.jpg,168.0,0.1,10.0,0.5,0.5,0.01,100.0
1428260,http://world-fr.openfoodfacts.org/produit/3564700690116/jafaden,Jafaden,"aliments et boissons à base de végétaux, boissons, surgelés, boissons à base de végétaux, boissons aux fruits, jus et nectars, jus de fruits, jus multifruits",France,4.0,c,"en:beverages,en:unsweetened-beverages",https://images.openfoodfacts.org/images/products/356/470/069/0116/front_fr.35.400.jpg,182.0,0.1,9.8,0.6,0.6,0.0,100.0
1428262,http://world-fr.openfoodfacts.org/produit/3564700691182/pizza-3-fromages-turini,Pizza 3 fromages,"surgelés, plats préparés, pizzas tartes salées et quiches, pizzas, pizzas au fromage, pizzas et tartes surgelées, pizzas surgelées, pizzas aux trois fromages",France,9.0,c,"en:composite-foods,en:pizza-pies-and-quiches",https://images.openfoodfacts.org/images/products/356/470/069/1182/front_fr.17.400.jpg,1028.0,5.0,2.9,2.5,11.0,0.98,28.0
1428307,http://world-fr.openfoodfacts.org/produit/3564700697566/coulis-de-framboise-fruistar,Coulis de framboise,"aliments et boissons à base de végétaux, aliments d'origine végétale, condiments, aliments à base de fruits et de légumes, surgelés, fruits et produits dérivés, sauces, sauces dessert, coulis de fruits, coulis de framboise, en:groceries",France,-1.0,a,"en:fats-and-sauces,en:dressings-and-sauces",https://images.openfoodfacts.org/images/products/356/470/069/7566/front_fr.14.400.jpg,528.0,0.1,27.0,5.1,1.1,0.0,76.0
1428315,http://world-fr.openfoodfacts.org/produit/3564700698051/ananas-en-morceaux-marque-repere,Ananas en morceaux,"aliments et boissons à base de végétaux, aliments d'origine végétale, aliments à base de fruits et de légumes, surgelés, fruits et produits dérivés, aliments à base de plantes surgelés, fruits, fruits tropicaux, fruits surgelés, ananas",France,-4.0,a,"en:fruits-and-vegetables,en:fruits",https://images.openfoodfacts.org/images/products/356/470/069/8051/front_fr.15.400.jpg,223.0,0.1,9.2,1.5,0.5,0.0,100.0
1428389,http://world-fr.openfoodfacts.org/produit/3564700703250/jafaden-peche-abricot-a-l-eau-de-source,Jafaden - Pêche Abricot à l'eau de source,"aliments et boissons à base de végétaux, boissons, surgelés, boissons à base de végétaux, boissons aux fruits, boissons avec sucre ajouté",France,10.0,e,"en:beverages,en:sweetened-beverages",https://images.openfoodfacts.org/images/products/356/470/070/3250/front_fr.20.400.jpg,138.0,0.0,7.0,0.1,0.1,0.01,12.0
1428444,http://world-fr.openfoodfacts.org/produit/3564700708163/poelee-parisienne-notre-jardin,Poêlée Parisienne,"surgelés, plats préparés, poêlées, plats préparés surgelés",France,-1.0,a,"en:composite-foods,en:one-dish-meals",https://images.openfoodfacts.org/images/products/356/470/070/8163/front_fr.16.400.jpg,340.0,1.0,0.7,2.7,2.7,0.8,77.0
1428445,http://world-fr.openfoodfacts.org/produit/3564700708170/mediterraneenne-notre-jardin,Méditerranéenne,"surgelés, plats préparés, poêlées, plats préparés surgelés",France,-7.0,a,"en:composite-foods,en:one-dish-meals",https://images.openfoodfacts.org/images/products/356/470/070/8170/front_fr.30.400.jpg,334.0,0.6,3.0,3.3,1.8,0.6,81.0
1428454,http://world-fr.openfoodfacts.org/produit/3564700708279/brunoise-mediterraneenne-notre-jardin,Brunoise mediterraneenne,"aliments et boissons à base de végétaux, aliments d'origine végétale, aliments à base de fruits et de légumes, surgelés, légumes et dérivés, aliments à base de plantes surgelés, légumes surgelés, mélanges d'aliments à base de plantes surgelés, mélanges de légumes, mélanges de légumes surgelés",France,-5.0,a,"en:fruits-and-vegetables,en:vegetables",https://images.openfoodfacts.org/images/products/356/470/070/8279/front_fr.30.400.jpg,329.0,0.6,4.9,1.2,1.2,0.0,95.0
1428501,http://world-fr.openfoodfacts.org/produit/3564700715444/glace-trofic-trium-vanille-chocolat-amandes,Glace Trofic Trium Vanille chocolat amandes,"desserts, surgelés, desserts glacés, glaces et sorbets, glaces, bâtonnets glacés, bâtonnets glacés à la vanille",France,20.0,e,"en:milk-and-dairy-products,en:ice-cream",https://images.openfoodfacts.org/images/products/356/470/071/5444/front_fr.17.400.jpg,1357.0,13.6,28.3,0.8,3.4,0.125,3.82
