_id,image_url,brands,pnns_groups_2,energy-kj_100g,sugars_100g,salt_100g,saturated-fat_100g,proteins_100g,fiber_100g,fruits-vegetables-nuts-estimate-from-ingredients_100g,sodium_100g,nutrition-score-fr_100g,nutrition_grade_fr,negative_points,positive_points,energy_points,sugars_points,sodium_points,saturated_fat_points,fruit_points,fiber_points,proteins_points,our_nutrition_score,our_nutrition_label
3560070998661.0,https://images.openfoodfacts.org/images/products/356/007/099/8661/front_fr.70.400.jpg,"Carrefour Veggie,Carrefour",Sandwiches,672.0,0.9,0.7,2.1,17.0,3.8,38.75,0.28,-2.0,a,9.0,5.0,8,10,10,8,0,8,10,-0.34999999999999787,a
3560070953325.0,https://images.openfoodfacts.org/images/products/356/007/095/3325/front_fr.44.400.jpg,"Bon app',Carrefour",Sandwiches,834.0,3.7,1.2,0.5,8.1,3.7,28.94,0.48,-1.0,a,8.0,10.0,8,10,10,10,0,6,10,-0.5500000000000007,a
8710438105735.0,https://images.openfoodfacts.org/images/products/871/043/810/5735/front_fr.40.400.jpg,MCCAIN,Sandwiches,1155.0,5.1,1.4,7.3,11.0,2.3,12.4913194444444,0.56,15.0,d,6.0,5.0,7,9,10,3,0,4,10,3.4499999999999993,c
4061458284547.0,https://images.openfoodfacts.org/images/products/406/145/828/4547/front_de.3.400.jpg,Mein veggie Tag,Sandwiches,842.0,0.4,1.37,2.5,14.6,6.5,0.0,0.548,0.0,b,8.0,5.0,8,10,10,8,0,10,10,-0.9499999999999993,a
3242272890751.0,https://images.openfoodfacts.org/images/products/324/227/289/0751/front_fr.61.400.jpg,Sodebo,Sandwiches,1275.0,7.0,1.0,2.5,8.7,3.3,19.3717447916667,0.4,2.0,b,10.0,8.0,7,9,10,8,0,6,10,0.8499999999999979,b
3175681262270.0,https://images.openfoodfacts.org/images/products/317/568/126/2270/front_fr.40.400.jpg,Céréal Bio,Sandwiches,937.0,3.0,1.5,1.2,17.0,4.6,23.7914341517857,0.6,0.0,b,10.0,9.0,8,10,10,9,0,8,10,-0.75,a
3181232138307.0,https://images.openfoodfacts.org/images/products/318/123/213/8307/front_fr.61.400.jpg,Charal,Sandwiches,1086.0,4.5,1.28,4.7,14.0,3.7,4.0,0.512,9.0,c,7.0,9.0,7,10,10,6,0,6,10,1.5500000000000007,b
20330750.0,https://images.openfoodfacts.org/images/products/20330750/front_en.117.400.jpg,"Vemondo,Lidl",unknown,681.0,4.0,1.5,0.7,18.8,7.7,6.33703882553998,0.6,-2.0,a,6.0,4.0,8,10,10,10,0,10,10,-1.75,a
7613036092487.0,https://images.openfoodfacts.org/images/products/761/303/609/2487/front_en.119.400.jpg,"Garden gourmet, Nestlé",unknown,798.0,3.2,1.3,0.7,21.0,6.4,20.6254842122396,0.52,-3.0,a,11.0,5.0,8,10,10,10,0,10,10,-1.75,a
4000405005316.0,https://images.openfoodfacts.org/images/products/400/040/500/5316/front_de.99.400.jpg,Rügenwalder Mühle,unknown,556.0,1.4,2.7,0.7,6.4,3.2,23.0769230769231,1.08,8.0,c,8.0,9.0,9,10,10,10,0,6,6,-0.25,a
3175681028098.0,https://images.openfoodfacts.org/images/products/317/568/102/8098/front_fr.111.400.jpg,Céréal Bio,unknown,780.0,3.8,0.95,0.6,5.0,6.2,20.1,0.38,-2.0,a,8.0,10.0,8,10,10,10,0,10,6,-0.9499999999999993,a
3175681190078.0,https://images.openfoodfacts.org/images/products/317/568/119/0078/front_fr.53.400.jpg,Céréal BIO,unknown,581.0,2.6,0.6,0.7,15.0,5.6,26.4625,0.24,-7.0,a,10.0,6.0,9,10,10,10,0,10,10,-2.25,a
8027890010232.0,https://images.openfoodfacts.org/images/products/802/789/001/0232/front_es.32.400.jpg,Kioene,unknown,1147.0,0.5,1.22,2.2,14.3,4.5,30.0,0.488,1.0,b,5.0,6.0,7,10,10,8,0,8,10,0.15000000000000036,b
4000405002100.0,https://images.openfoodfacts.org/images/products/400/040/500/2100/front_de.98.400.jpg,Rügenwalder Mühle,unknown,1080.0,0.6,1.6,1.9,4.5,3.7,3.0,0.64,8.0,c,8.0,10.0,7,10,10,9,0,6,4,1.5500000000000007,b
3175681269613.0,https://images.openfoodfacts.org/images/products/317/568/126/9613/front_fr.61.400.jpg,"Céréal Bio,Céréal",unknown,693.0,1.4,1.2,0.8,21.0,4.2,4.65,0.48,-2.0,a,6.0,8.0,8,10,10,10,0,8,10,-1.1499999999999986,a
4000405005026.0,https://images.openfoodfacts.org/images/products/400/040/500/5026/front_de.102.400.jpg,Rügenwalder Mühle,unknown,872.0,0.6,1.5,0.9,12.0,5.0,11.8421052631579,0.6,-2.0,a,7.0,11.0,8,10,10,10,0,10,10,-1.75,a
4000405004593.0,https://images.openfoodfacts.org/images/products/400/040/500/4593/front_de.115.400.jpg,Rügenwalder Mühle,unknown,492.0,2.2,2.3,0.4,2.2,7.3,12.0,0.92,6.0,c,3.0,8.0,9,10,10,10,0,10,2,-0.6499999999999986,a
