_id,image_url,brands,pnns_groups_2,energy-kj_100g,sugars_100g,salt_100g,saturated-fat_100g,proteins_100g,fiber_100g,fruits-vegetables-nuts-estimate-from-ingredients_100g,sodium_100g,nutrition-score-fr_100g,nutrition_grade_fr,negative_points,positive_points
4061458236928.0,https://images.openfoodfacts.org/images/products/406/145/823/6928/front_de.25.400.jpg,"Goldähren,Sinnack Backspezialitäten,Aldi",Bread,1340.0,3.0,1.3,1.0,18.0,6.0,0.0,0.52,-2.0,a,7.0,5.0
4000522064302.0,https://images.openfoodfacts.org/images/products/400/052/206/4302/front_de.121.400.jpg,"Pombär, Intersnack Deutschland SE",Appetizers,2142.0,1.3,1.5,2.5,3.0,1.6,0.0,0.6,13.0,d,10.0,5.0
4003586000316.0,https://images.openfoodfacts.org/images/products/400/358/600/0316/front_de.107.400.jpg,funny-frisch Diverse,Appetizers,2209.0,2.5,1.6,3.0,6.1,4.2,0.0,0.64,11.0,d,9.0,10.0
40896250.0,https://images.openfoodfacts.org/images/products/40896250/front_de.55.400.jpg,Fairglobe,Chocolate products,2361.0,51.5,0.23,21.5,7.2,0.1,0.0,0.092,28.0,e,3.0,8.0
40144382.0,https://images.openfoodfacts.org/images/products/40144382/front_de.33.400.jpg,Storck,Biscuits and cakes,2284.0,34.6,0.56,18.5,9.2,0.0,9.2,0.224,25.0,e,11.0,5.0
4058172508080.0,https://images.openfoodfacts.org/images/products/405/817/250/8080/front_de.32.400.jpg,"dmBio,dm,Alnatura",Legumes,531.0,0.6,0.51,1.3,13.0,1.8,0.0,0.204,-2.0,a,4.0,3.0
4000405005002.0,https://images.openfoodfacts.org/images/products/400/040/500/5002/front_de.97.400.jpg,"Rügenwalder Mühle,Rügenwalder, Rügenwalder Mühle",Legumes,846.0,0.6,1.6,0.9,14.0,6.4,0.0,0.64,-1.0,a,8.0,10.0
4056489442356.0,https://images.openfoodfacts.org/images/products/405/648/944/2356/front_de.13.400.jpg,Vemondo,Legumes,498.0,0.4,0.03,1.1,13.7,0.6,47.0,0.012,-3.0,a,8.0,10.0
4012359144102.0,https://images.openfoodfacts.org/images/products/401/235/914/4102/front_de.85.400.jpg,Taifun,Legumes,1049.0,0.9,1.7,2.6,17.0,0.0,62.5439453125,0.68,12.0,d,11.0,0.0
4260334164120.0,https://images.openfoodfacts.org/images/products/426/033/416/4120/front_de.3.400.jpg,youcook,One-dish meals,611.0,1.4,0.6,1.3,4.1,1.4,9.5,0.24,1.0,b,8.0,5.0
