_id,image_url,brands,is_beverage,pnns_groups_2,energy-kj_100g,sugars_100g,salt_100g,saturated-fat_100g,proteins_100g,fiber_100g,fruits-vegetables-nuts-estimate-from-ingredients_100g,sodium_100g,nutrition-score-fr_100g,nutrition_grade_fr,negative_points,positive_points
4058172508080,https://images.openfoodfacts.org/images/products/405/817/250/8080/front_de.32.400.jpg,"dmBio,dm,Alnatura",N,Legumes,531,0.6,0.51,1.3,13,1.8,0,0.204,-2,a,4,3
4000405005002,https://images.openfoodfacts.org/images/products/400/040/500/5002/front_de.97.400.jpg,"Rügenwalder Mühle,Rügenwalder, Rügenwalder Mühle",N,Legumes,846,0.6,1.6,0.9,14,6.4,0,0.64,-1,a,8,10
4056489442356,https://images.openfoodfacts.org/images/products/405/648/944/2356/front_de.13.400.jpg,Vemondo,N,Legumes,498,0.4,0.03,1.1,13.7,0.6,47,0.012,-3,a,8,10
4012359144102,https://images.openfoodfacts.org/images/products/401/235/914/4102/front_de.85.400.jpg,Taifun,N,Legumes,1049,0.9,1.7,2.6,17,0,62.54394531,0.68,12,d,11,0
3451790988042,https://images.openfoodfacts.org/images/products/345/179/098/8042/front_fr.105.400.jpg,Elle & Vire,Y,Milk and yogurt,1204,3.2,0.08,21,2.3,0,0,0.032,13,d,1,3
20133207,https://images.openfoodfacts.org/images/products/20133207/front_en.39.400.jpg,Alesto,N,Nuts,2533,5.6,1.3,6.3,26.5,8.6,98.7,0.52,4,c,11,15
20005719,https://images.openfoodfacts.org/images/products/20005719/front_de.130.400.jpg,Alesto,N,Nuts,2507,5.6,1.78,6.3,26.5,7.6,98.2,0.712,6,c,0,0
4260334164120,https://images.openfoodfacts.org/images/products/426/033/416/4120/front_de.3.400.jpg,youcook,N,One-dish meals,611,1.4,0.6,1.3,4.1,1.4,9.5,0.24,1,b,8,5
4056489412373,https://images.openfoodfacts.org/images/products/405/648/941/2373/front_fr.4.400.jpg,Toque du Chef,N,One-dish meals,639,2.7,0.69,2.6,6.8,1,13.85,0.276,1,b,4,4
3487400005151,https://images.openfoodfacts.org/images/products/348/740/000/5151/front_de.3.400.jpg,"Ben's Original, Mars",N,One-dish meals,711,2.5,0.56,0.3,3.9,1.4,8.4,0.224,1,b,1,1
5010034514003,https://images.openfoodfacts.org/images/products/501/003/451/4003/front_en.82.400.jpg,Uncle Ben's,N,One-dish meals,612,0.5,0.01,0.1,2.7,0.7,0,0.004,0,b,3,2
